City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-04 05:00:00,46.42,91.5,7.96,20.13,13.65,15.38,0.8,19.0,14.5,2.5,2.17,0.0,116.0,Moderate
Ahmedabad,2015-01-04 06:00:00,46.42,91.5,0.52,19.07,15.05,15.38,0.52,13.73,12.62,2.52,2.52,0.0,116.0,Moderate
Ahmedabad,2015-01-04 07:00:00,46.42,91.5,0.57,17.08,15.6,15.38,0.57,13.42,12.92,2.42,1.97,0.0,116.0,Moderate
Ahmedabad,2015-01-04 08:00:00,46.42,91.5,1.42,16.52,17.58,15.38,1.42,12.83,14.38,4.68,2.87,0.0,116.0,Moderate
Ahmedabad,2015-01-04 10:00:00,46.42,91.5,0.93,13.44,14.2,15.38,0.93,14.28,26.54,5.98,4.6,0.0,116.0,Moderate
Ahmedabad,2015-01-04 11:00:00,46.42,91.5,0.4,13.12,12.63,15.38,0.4,14.25,34.46,4.58,5.57,0.0,116.0,Moderate
Ahmedabad,2015-01-04 14:00:00,46.42,91.5,0.07,9.52,7.85,15.38,0.07,16.28,66.04,2.0,4.13,0.0,116.0,Moderate
Ahmedabad,2015-01-04 15:00:00,46.42,91.5,0.07,9.91,8.3,15.38,0.07,13.72,68.75,1.68,4.15,0.43,116.0,Moderate
Ahmedabad,2015-01-04 17:00:00,46.42,91.5,0.07,10.3,9.62,15.38,0.07,14.33,74.96,1.45,3.68,0.0,116.0,Moderate
Ahmedabad,2015-01-04 18:00:00,46.42,91.5,0.02,15.2,15.47,15.38,0.02,10.69,67.88,1.83,4.85,0.0,116.0,Moderate
Ahmedabad,2015-01-04 22:00:00,46.42,91.5,0.2,25.8,28.18,15.38,0.2,38.1,30.25,4.73,14.07,1.38,116.0,Moderate
Ahmedabad,2015-01-04 23:00:00,46.42,91.5,7.96,18.75,18.45,15.38,0.8,36.11,40.5,3.6,10.47,0.3,116.0,Moderate
Ahmedabad,2015-01-05 00:00:00,46.42,91.5,7.96,15.45,13.62,15.38,0.8,24.83,42.38,3.18,7.02,0.0,116.0,Moderate
Ahmedabad,2015-01-05 02:00:00,46.42,91.5,7.96,14.36,8.52,15.38,0.8,32.67,38.21,0.62,3.37,0.0,116.0,Moderate
Ahmedabad,2015-01-05 04:00:00,46.42,91.5,7.96,13.49,9.27,15.38,0.8,53.58,32.75,1.62,2.13,0.18,116.0,Moderate
Ahmedabad,2015-01-05 05:00:00,46.42,91.5,7.96,12.66,10.27,15.38,0.8,31.66,32.88,1.35,0.87,0.0,116.0,Moderate
Ahmedabad,2015-01-05 06:00:00,46.42,91.5,0.25,14.56,14.22,15.38,0.25,22.31,23.92,1.15,1.58,0.0,116.0,Moderate
Ahmedabad,2015-01-05 07:00:00,46.42,91.5,0.27,13.88,13.78,15.38,0.27,23.27,26.17,2.75,1.82,0.0,116.0,Moderate
Ahmedabad,2015-01-05 09:00:00,46.42,91.5,2.88,17.47,20.3,15.38,2.88,79.21,19.25,6.4,6.0,0.33,116.0,Moderate
Ahmedabad,2015-01-05 10:00:00,46.42,91.5,1.32,13.9,15.25,15.38,1.32,81.81,31.83,4.68,5.82,0.0,116.0,Moderate
